"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"337",6.628,-51.0062522888,3.568,36.63125,989.999938965,3.06,-47.4000030518,626.508,-73.2562561035,2.5015844058,87.6375022888,"Ntsr1-Cre_GN220"
"338",4.965,-50.7375022888,3.174,47.2187522888,880,2.849,-46.3250030518,399.96,-73.1125045776,4.4803841745,97.9562545776,"Rbp4-Cre_KL100"
"341",5.4483333,-50.5208333333,3.4416667,45.2083346049,1090,3.0533333,-47.4895846049,532.925,-77.1875025431,4.0465399845,95.7291679382,"Scnn1a-Tg2-Cre"
"345",5.3316667,-51.6666698456,3.2941667,50.3697942098,419.999969482,2.9666667,-43.7291679382,692.6191667,-69.9062525431,4.5598996199,102.036464055,"Rorb-IRES2-Cre"
"350",4.841,-50.09375,3.453,40.3437507629,0,3.087,-43.1125007629,820.658,-76.4312545776,3.6811218945,90.4375007629,"Nr5a1-Cre"
"353",5.355,-54.2008961269,3.5135714,43.763395037,930,3.0471429,-47.2723246983,354.9521429,-78.0401796613,2.5258623559,97.9642911639,"Ntsr1-Cre_GN220"
"359",6.641,-53.075,3.597,35.2437530518,0,3.116,-45.1875,714.425,-80.3875045776,4.2616668776,88.3187530518,"Scnn1a-Tg2-Cre"
"364",6.762,-53.6250015259,3.393,33.1312507629,568,2.911,-45.4500007629,67.44,-65.3187530518,4.0556416429,86.7562522888,"Scnn1a-Tg3-Cre"
"366",4.85,-46.7968769073,3.4125,47.9609394073,230,3.0375,-45.8281288147,620.56,-77.9296913147,3.7732565057,94.7578163146,"Rbp4-Cre_KL100"
"367",4.95,-49.2437515259,3.29,40.4375030518,1500,2.989,-51.7312522888,58.412,-74.5062576294,4.2903579616,89.6812545777,"Rbp4-Cre_KL100"
"368",4.89125,-53.0312519073,3.29875,46.1796894073,192.5,3.03,-44.5937509537,610.81625,-76.1953201294,3.6047422865,99.2109413146,"Scnn1a-Tg3-Cre"
"373",5.94,-55.2291679382,3.6133333,44.7708358765,0,3.2333333,-47.375,760.8866667,-71.8750025431,4.4101602053,100.000003815,"Ctgf-T2A-dgCre"
"375",5.631,-48.6312507629,3.339,57.5187538147,889.999938965,2.999,-45.2500022888,510.126,-76.6812561035,5.3861239527,106.150004578,"Scnn1a-Tg3-Cre"
"379",5.8116667,-51.3437531789,3.3116667,24.5000006358,700,2.8883333,-43.0208365122,631.1183333,-76.317712148,2.9010808183,75.8437538147,"Scnn1a-Tg2-Cre"
"380",5.6175,-53.445315361,3.55125,20.625,0,3.13875,-38.2734394073,614.0775,-82.1562519073,2.6030053927,74.070315361,"Scnn1a-Tg3-Cre"
"381",5.088,-52.0062530518,3.352,38.4875030518,528,2.932,-48.0312522888,802.308,-78.8687530518,3.9297544236,90.4937561036,"Scnn1a-Tg3-Cre"
"384",5.305,-51.304690361,3.535,34.3359384537,830,3.085,-43.6171894073,663.8,-80.3046894073,2.8870800679,85.6406288147,"Rbp4-Cre_KL100"
"385",5.14125,-50.2734413147,3.455,45.7656269073,0,3.09625,-47.437502861,461.115,-74.1328163147,3.6502053692,96.039068222,"Cux2-CreERT2"
"387",5.179,-50.2937522888,3.427,23.9312503815,714,3.036,-36.0312530518,546.673,-82.5062530518,2.594750228,74.2250026703,"Scnn1a-Tg3-Cre"
"388",6.452,-52.2875022888,3.46,24.8812507629,112,3.048,-44.2000030518,216.256,-69.3562530518,3.9924789635,77.1687530517,"Ctgf-T2A-dgCre"
"389",5.9825,-54.679690361,3.52625,44.4765634537,580,3.0975,-47.125002861,335.28875,-78.171880722,4.6561826206,99.1562538147,"Cux2-CreERT2"
