"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"646",0.0611329397,127.561428571,0.1440660403,0.049985,75.6250023842,0.2082295418,15.1601907652,-70.3271865845,7.8393603082,118.085,-42.75,115.895,42.0000038147,209.999984741,115.505,-39.15625,168.855,-53.3750038147,3.6039451917,84.7500038147,"Rbp4-Cre_KL100"
"653",0.1241685733,100.997777778,0.0801075269,0.0409,215.312495828,0.0222956389,21.4727478129,-75.3039245605,9.90120794737,86.405,-50.9375,84.25,45.34375,70,83.785,-40.5,101.575,-55.34375,3.9629500572,96.28125,"Nr5a1-Cre"
"659",0.0361167846,59.8553125,0.2425476603,0.0406,230.468705297,0.0170810018,20.3719424917,-75.8962249756,16.706954792,169.465,-51.7187538147,167.06,40.125,50,166.625,-39.6875,193.215,-57.5,3.5733221716,91.8437538147,"Rorb-IRES2-Cre"
"679",0.0986648819,113.287142857,0.139336926,0.059385,95.1785519719,0.0316205211,25.2161656932,-75.0661315918,8.82712702236,131.005,-44.4687538147,128.22,35.7812538147,130,127.855,-36.6562538147,165.285,-54.2812538147,3.3863165925,80.2500076294,"Scnn1a-Tg3-Cre"
"698",0.0363294894,85.2254545455,0.189999999,0.0233,118.281327188,0.0042600171,12.5836496076,-72.6110458374,11.7335836498,100.78,-46.5312538147,98.24,42.28125,210,97.68,-43.625,114.04,-51.7500038147,3.4800220978,88.8125038147,"Cux2-CreERT2"
"699",1,26.865,0.0575650203,0.019535,99.939905107,0.0042560054,11.67580392,-85.4491729736,37.223152801,38.955,-53.4687538147,37,24.2187519073,360,36.5,-38.4375,39.11,-53.6250038147,2.8314899715,77.687505722,"Nr5a1-Cre"
"725",1,65.57,0.1499094283,0.0325,165.625080466,0.1514507979,14.2321915753,-75.5698242188,15.2508769254,86.895,-50.0625038147,84.875,47.21875,110,84.375,-38.03125,106.5,-54.3437538147,3.0888827934,97.2812538147,"Ntsr1-Cre_GN220"
"736",0.0197051634,61.6253333333,0.2004716981,0.05464,166.56242311,0.0347785614,21.2613101947,-79.3605117798,16.2270927541,100.56,-48.0625038147,98.08,37.46875,90,97.62,-31.96875,109.64,-52.2812538147,3.5639551468,85.5312538147,"Cux2-CreERT2"
"737",0.0453230754,61.0826666667,0.2399553571,0.05336,183.906242251,0.051998876,15.3347965836,-66.8875732422,16.3712564394,235.14,-44.90625,231.78,36.1875038147,50,231.14,-42.7812538147,287.14,-50.6875038147,3.9327894378,81.0937538147,"Ctgf-T2A-dgCre"
"756",0.1628796926,59.473,0.0945304313,0.03129,144.531324506,0.0423685797,20.7580625546,-74.2315673828,16.8143527315,46.025,-50.1875038147,43.67,30.03125,290,43.315,-34.6562538147,50.085,-51.6250038147,3.7580794376,80.2187538147,"Rorb-IRES2-Cre"
"759",0.0296126533,85.9225,0.0940899274,0.046245,186.406299472,0.1162524968,20.3774014829,-68.4197998047,11.6383950653,261.13,-50.6875038147,259.575,49.3125038147,70,259.19,-38.6875,303.905,-57.2812538147,3.0748480464,100.000007629,"Nr5a1-Cre"
"767",1,1000,0.1947916783,0.07245,177.968755364,0.0229636412,18.1517342336,-77.0266799927,1,93.52,-48.03125,88.835,34.15625,130,88.22,-36.375,104.575,-50.9062538147,3.7269961036,82.1875,"Cux2-CreERT2"
