"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"152",0.0614919916,92.6515,0.2028846244,0.055515,197.343707085,0.071781531,34.8281314838,-72.4250030518,10.7931334085,437.27,-42.9375038147,435.19,40.6250038147,90,434.805,-33.1875,464.96,-54.15625,2.9676890485,83.5625076294,"Cux2-CreERT2"
"153",0.034848305,81.592,0.2131469962,0.06443,139.375120401,0.063060686,22.7528516191,-79.9310379028,12.2561035396,143.81,-46.75,141.44,35.6875038147,210,140.98,-32.0625,155.58,-49.7187538147,3.1319760188,82.4375038147,"Rorb-IRES2-Cre"
"155",0.0268691569,68.485,0.1912698518,0.064,156.874880195,0.0137283849,17.018974107,-67.0353393555,14.6017376068,128.64,-48.4687538147,124.88,38.375,110,124.44,-42.7187538147,139.74,-53.0625038147,6.0965560729,86.8437538147,"Ctgf-T2A-dgCre"
"156",0.0233147925,72.1273076923,0.1782534375,0.060175,150.312572718,0.0128363045,19.9989448684,-82.9683837891,13.8643744234,170.66,-48.8437538147,168.38,39.9062538147,110,167.98,-36.28125,196.17,-57.40625,3.1330203798,88.7500076294,"Rorb-IRES2-Cre"
"161",0.0481019466,76.1216666667,0.1895565324,0.050805,181.093752384,0.0409501716,16.8366440234,-82.3311004639,13.1368642305,208.135,-50,205.325,36.0937538147,110,204.875,-33.8437538147,226.99,-57.34375,3.1333442973,86.0937538147,"Nr5a1-Cre"
"166",0.0368844851,65.8692307692,0.2336640212,0.06385,241.40624702,0.0152476402,27.5330781404,-78.1602478027,15.1815952353,190.72,-48.8750038147,188.8,46.3750038147,50,188.385,-41.09375,220.675,-55.8750038147,4.027633222,95.2500076294,"Rorb-IRES2-Cre"
"167",0.0386690158,105.96125,0.1659810211,0.07976,137.968748808,0.0681690127,24.2422131145,-79.8806610107,9.43741226156,138.95,-47.0000038147,135.91,34.8125038147,130,135.48,-38.03125,179.06,-54.9687538147,4.195805859,81.8125076294,"Rbp4-Cre_KL100"
"168",0.027384956,71.7215384615,0.1725446498,0.06211,158.125042915,0.03639495,18.713148949,-72.2956085205,13.9428130162,138.605,-41.5937538147,134.89,35.71875,90,134.35,-32.46875,174.47,-47.9375,4.1500095692,77.3125038147,"Scnn1a-Tg2-Cre"
"170",0.0361283234,76.46125,0.2225000156,0.04385,214.531287551,0.0620325468,20.4339386502,-74.4105987549,13.0785201654,157.535,-54.5937538147,155.845,41.9062538147,70,155.4,-42.59375,204.1,-59.6875038147,2.709897683,96.5000076294,"Rorb-IRES2-Cre"
"172",0.0225671905,58.9066666667,0.2564769382,0.05304,180.468738079,0.0440940261,17.1355170066,-79.6418533325,16.9760072431,301.06,-57.4375,297.56,49.1562538147,70,297.14,-49.0000038147,329.92,-61.96875,6.0116548083,106.593753815,"Ctgf-T2A-dgCre"
"178",0.1947762783,143.756666667,0.0336691218,0.073905,127.812504768,0.1069689319,18.9762903346,-74.2105255127,6.95619913279,261.97,-46.1250038147,258.58,39.46875,150,258.16,-38.4375,305.17,-55.7187538147,3.812401369,85.5937538147,"Cux2-CreERT2"
"179",0.0522637766,124.382142857,0.0959208319,0.06746,96.4062511921,0.1284628212,15.7911016595,-77.0904159546,8.03973928274,199.805,-45.6875,197.015,42.90625,200,196.545,-36.75,255.02,-55.8750038147,3.5949752774,88.59375,"Rorb-IRES2-Cre"
"180",0.0207115105,52.4866666667,0.234375,0.0413,210.000112653,0.0674153268,25.535392817,-76.3125610352,19.052457767,128.72,-50.96875,126.34,38.625,50,125.9,-41.21875,149.4,-56.9062538147,4.7304564138,89.59375,"Rorb-IRES2-Cre"
"182",0.0221943326,61.623,0.1981216488,0.060645,202.812537551,0.0736343935,22.9783631392,-66.8419036865,16.2277071873,203.43,-32.5625,200.875,47.0937538147,70,200.435,-21.25,240.615,-41.84375,2.8938175018,79.6562538147,"Scnn1a-Tg2-Cre"
"184",0.0232530315,86.6536363636,0.1408031088,0.044805,171.093553305,0.1004177034,17.766057521,-77.6002655029,11.540196603,119.955,-58.46875,117.46,34.7500038147,90,116.925,-45.2812538147,156.43,-62.21875,3.4713138041,93.2187538147,"Rbp4-Cre_KL100"
"190",0.0690320929,95.628,0.1322485217,0.038815,90.156249702,0.1762121171,15.4935912138,-71.9120330811,10.4571882712,194.5,-43.1875038147,192.11,45,160,191.72,-40.6250038147,247.68,-55.5000038147,4.4891410803,88.1875038147,"Rbp4-Cre_KL100"
"191",0.3073805979,89.7,0.0691854234,0.0465,101.562425494,0.0296605732,12.5413100674,-74.6041259766,11.1482720178,124.58,-46.90625,120.62,35.5625,270,120,-38.03125,131.64,-48.96875,4.1431060315,82.46875,"Ctgf-T2A-dgCre"
"195",0.0629883953,84.175,0.1113235431,0.04478,150.468751788,0.0196336731,17.2733130739,-75.2881317139,11.88001188,130.56,-47.53125,127.72,38.4062538147,130,127.3,-33.8437538147,145.7,-54.875,3.8019869287,85.9375038147,"Cux2-CreERT2"
"200",0.0774982509,168.123,0.12,0.0984,118.75037849,0.0723411068,27.556439425,-71.7197418213,5.94802614752,259.825,-43.40625,254.59,21.5625019073,110,253.94,-34.59375,306.94,-51.53125,4.5132629741,64.9687519073,"Rorb-IRES2-Cre"
"206",0.0458341391,89.794,0.1897849455,0.02694,356.249958277,0.076568976,39.8619819949,-59.0870780945,11.1366015547,139.32,-47.3125,136.14,34.9062538147,29.9999980927,135.62,-34.5000038147,164.02,-54.9687538147,3.4376338145,82.2187538147,"Rbp4-Cre_KL100"
"208",0.02226991,59.8203333333,0.2130719055,0.05286,181.718721986,0.0295567587,23.4027815803,-80.5188903809,16.7167239679,116.89,-49.2500038147,115.005,36.3125,90,114.625,-38.9375,133.48,-54.5625,3.406229534,85.5625038147,"Scnn1a-Tg3-Cre"
"209",0.0539655045,73.9578571429,0.1676254174,0.038035,138.258814812,0.1186074466,15.8888819551,-72.4948730469,13.5212138187,69.385,-46.9375038147,67.535,43.6875038147,180,67.055,-32.2500038147,88.135,-48.71875,2.3125413509,90.6250076294,"Ntsr1-Cre_GN220"
