"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"148",332.561728,217.187389731,0.0512986890972,-96.9375076294,-72.9392852783,90.1666704814,"Inhibitory",3.64323333333,-48.5729204814,3.6411,34.75,65.5,3.64052,-40.0520846049,3.64354,-48.7812525431,2.72675643976
"149",138.222464,90.468749404,0.0623507685959,-89,-78.6321334839,102.525006104,"Inhibitory",10.039045,-56.9375025431,10.0352316667,35.65625,225.374989827,10.034915,-34.9895833333,10.042925,-59.7604192098,3.79808314675
"150",338.230464,214.843794703,0.0324125289917,-88.3437576294,-65.2329788208,93.4312545776,"Inhibitory",4.59096,-52.0625038147,4.58795166667,27.9270846049,89.1666641235,4.58738666667,-32.8750012716,4.59320333333,-53.0833346049,2.49505567584
"153",130.769056,139.375120401,0.0630606859922,-96,-79.9310379028,93.546875,"Excitatory",4.85422333333,-49.3020833333,4.852005,39.2604192098,95.7499974569,4.851575,-32.0937506358,4.87815833333,-54.1562538147,3.05519425581
"154",104.088008,56.7187517881,0.0936134979129,-90.4687576294,-83.2276611328,84.8812520981,"Inhibitory",19.1118633333,-62.0312525431,19.1110766667,9.71875031789,452.249979655,19.110735,-38.4687525431,19.1118983333,-62.1354204814,1.18763268339
"155",151.449984,156.874880195,0.0137283848599,-83.4687576294,-67.0353393555,89.4791692098,"Excitatory",4.39686666667,-48.0104179382,4.39286,39.552087148,84.2916666667,4.39240666667,-43.4270858765,4.42072,-54.8541679382,5.67460593842
"156",135.071536,150.312572718,0.0128363044932,-97.3750076294,-82.9683837891,94.9687519073,"Excitatory",5.73030166667,-49.1250012716,5.72795833333,35.5104166667,117.708335876,5.72751833333,-36.1458358765,5.75187333333,-56.1354179382,2.7930379895
"157",202.380544,190.937533975,0.131219401956,-98.25,-76.5436096191,92.296880722,"Inhibitory",4.63536,-44.9270846049,4.633,44.6666666667,90.2916641235,4.63253333333,-37.5312538147,4.6739,-55.708337148,3.99300178273
"159",171.60632,190.937504172,0.0479762889445,-90.2812576294,-71.7251586914,102.92187945,"Excitatory",2.91856,-49.1875,2.916345,48.927087148,47.4166666667,2.91589333333,-42.3020858765,2.964955,-54.5416704814,4.26943608218
"160",235.689568,189.531251788,0.0383005104959,-96.59375,-75.6874694824,68.2937519073,"Inhibitory",10.145285,-48.46875,10.14418,7.06250047684,228.125,10.14368,-25.0625019073,10.14537,-48.625,0.961897252244
"162",160.333904,148.750036955,0.129600584507,-88.46875,-71.991607666,93.3437553406,"Inhibitory",6.69832333333,-50.833337148,6.69680166667,28.3437519073,141.91666158,6.69641333333,-36.8229179382,6.70035833333,-51.208337148,2.87746479614
"165",86.305232,72.1874982119,0.0210853274912,-83.7812576294,-76.1771469116,95.2437553406,"Inhibitory",14.490275,-52.3125038147,14.48495,28.3958346049,336.625,14.4845016667,-34.7916666667,14.4951933333,-54.6770858765,4.08968804304
"166",296.814144,241.40624702,0.0152476402,-98.3750076294,-78.1602478027,93.960943222,"Excitatory",3.05370833333,-47.4166692098,3.051765,45.8229204814,50.7916666667,3.05135,-38.4687538147,3.08824666667,-53.7187512716,4.00039259831
"167",116.338568,137.968748808,0.0681690126657,-95.15625,-79.8806610107,88.9312553406,"Excitatory",6.860495,-46.864587148,6.85795833333,37.1041679382,145.958323161,6.85752666667,-36.739587148,6.89887666667,-55.6250038147,3.97157985975
"168",173.020224,158.125042915,0.0363949500024,-89.28125,-72.2956085205,98.6484413147,"Excitatory",4.52211333333,-43.2291692098,4.519095,46.2500012716,87.4583333333,4.51859666667,-33.3541679382,4.56376833333,-49.6354192098,4.22235725517
"171",191.084912,113.749966025,0.05627226457,-100.71875,-79.1717681885,74.9062523842,"Inhibitory",8.93861666667,-54.1145846049,8.93747166667,9.40625063578,197.958333333,8.93704833333,-30.0625006358,8.9389,-54.3854179382,1.33701295802
"172",181.365824,180.468738079,0.0440940260887,-97.3437576294,-79.6418533325,105.168754578,"Excitatory",3.89353333333,-55.4270858765,3.89036,49.9791692098,71.7916641235,3.88995333333,-47.9687525431,3.92720666667,-60.5625025431,6.29670740825
