"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"826",89.159736,111.718788743,0.0348761491477,-89.4687576294,-77.2467803955,"Rbp4-Cre_KL100",9.68569906533,11.8186733333,-44.6458346049,11.8155933333,35.0000038147,269.875,11.8150333333,-36.7083333333,11.83922,-50.8020846049,3.56737915758
"827",259.75872,218.593791127,0.0289874300361,-102.000007629,-81.9060440063,"Rorb-IRES2-Cre",11.7157752914,3.03675333333,-57.6145858765,3.03378,32.6458339691,50.3749987284,3.03328333333,-45.1562538147,3.06877833333,-63.9270858765,3.85410220879
"828",227.135744,130.31257689,0.00892730802298,-85.6562576294,-71.0000686646,"Rorb-IRES2-Cre",16.4981498503,4.911585,-50.4375038147,4.90893,45.84375,97.25,4.90854,-36.375,4.925565,-56.46875,3.60817924181
"832",268.338656,193.437352777,0.0247239135206,-95.46875,-74.2120742798,"Nr5a1-Cre",4.04236397445,3.66241333333,-48.2500025431,3.66048666667,40.7500025431,65.9999987284,3.66006666667,-35.1770846049,3.67991333333,-54.3854179382,3.33968686397
"842",344.80784,280.000001192,0.0829196795821,-98.3750076294,-67.2280197144,"Ctgf-T2A-dgCre",15.4351612974,1.96206666667,-55.1250038147,1.95879333333,34.4791679382,23.3333333333,1.95815333333,-48.5000025431,2.02385333333,-61.9791704814,3.70048778344
"853",180.417056,195.70311904,0.0432634502649,-98.28125,-77.2277679443,"Nr5a1-Cre",18.7799305143,4.32404166667,-47.5729166667,4.321155,32.8125012716,82.5,4.32067833333,-32.3645846049,4.33644,-54.0833333333,2.83778787716
"855",177.432224,151.562571526,0.0225339084864,-96,-79.0895767212,"Scnn1a-Tg2-Cre",13.9484230235,5.47155833333,-45.6041679382,5.469215,37.2395858765,111.20833079,5.46878166667,-31.8229198456,5.524495,-52.3125038147,3.70488871538
"870",200.624128,149.519309402,0.0320296883583,-93.1562576294,-76.7724685669,"Rorb-IRES2-Cre",17.5187916413,3.23992333333,-44.3125,3.238025,44.5729192098,55.4166679382,3.23762833333,-32.1562512716,3.27276666667,-50.8437538147,3.51327841679
"875",309.563808,174.99999702,0.0597991719842,-102.500007629,-77.4748916626,"Nr5a1-Cre",16.1051343168,3.10372666667,-57.2083346049,3.10133333333,37.3333358765,51.9999987284,3.10089333333,-43.3229192098,3.12479333333,-63.9166692098,4.0344185616
"881",140.105984,122.187539935,0.27550688386,-81.0312576294,-66.0431060791,"Rorb-IRES2-Cre",12.2595457281,3.74352333333,-47.5416704814,3.74163666667,35.6562538147,68.0416666667,3.74113666667,-38.6875025431,3.807675,-54.4166692098,2.89241344751
"902",124.395336,119.374923408,0.159605979919,-81.40625,-67.953086853,"Rbp4-Cre_KL100",16.1286854046,4.45771666667,-50.927087148,4.45618,51.2500012716,85.9166666667,4.45577833333,-45.4479179382,4.50884333333,-57.4687538147,3.37394043085
"931",142.759456,122.343711555,0.0597714334726,-88,-71.6550292969,"Scnn1a-Tg2-Cre",7.5668006621,4.08294333333,-43.8020858765,4.08036666667,43.2604166667,76.5,4.079835,-36.2604166667,4.12704,-51.1666666667,3.8178296593
"932",332.505536,353.749871254,0.0400684587657,-97.21875,-69.7652435303,"Cux2-CreERT2",19.8437565276,2.52475333333,-52.114587148,2.52287333333,42.3645846049,37.5833333333,2.52243333333,-37.6875038147,2.54098666667,-56.7187538147,3.26299579302
"943",170.021008,140.937611461,0.0726220905781,-93.21875,-76.5253677368,"Scnn1a-Tg3-Cre",7.75564546359,4.377055,-49.5625012716,4.37395333333,39.4375012716,83.7916666667,4.37346333333,-35.8229166667,4.41451666667,-55.7187512716,3.95561678807
