"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"221",98.927008,102.656133473,0.0125178266317,-76.25,-66.1836395264,"Rorb-IRES2-Cre",7.9965881224,1.026058,-51.7500015259,1.023562,35.5375022888,1.096808,-67.20625,1150,1.02309,-50.7562522888,1.096808,-67.20625,3.15220099828
"224",186.281984,188.593819737,0.048895534128,-94.9375,-74.1413345337,"Rorb-IRES2-Cre",17.3415416631,1.024356,-55.2500022888,1.022852,37.1937515259,1.438652,-74.5625030518,700,1.02252,-51.0125030518,1.438652,-74.5625030518,4.06816412857
"229",150.04936,193.281367421,0.0975460112095,-87.0937576294,-65.6994934082,"Rorb-IRES2-Cre",10.4575770956,1.025501,-51.3312522888,1.023336,47.6000015259,1.480013,-66.9625045776,296,1.022992,-44.6125022888,1.480013,-66.9625045776,3.84556386044
"234",253.899536,331.250011921,0.14223715663,-101.84375,-61.3951797485,"Rorb-IRES2-Cre",8.7973475997,1.0254,-46.8750038147,1.02323,35.25,1.18117,-61,509.999969482,1.022695,-42.1875,1.18117,-61.0000038147,3.12193365557
"239",354.501888,248.571425676,0.103792816401,-99.3437576294,-75.8354644775,"Scnn1a-Tg2-Cre",19.1366195162,1.025063,-55.8312522888,1.023403,32.49375,1.270807,-77.0937545776,224,1.023033,-45.9500007629,1.270807,-77.0937545776,2.88323944805
"245",205.579328,214.84375,0.0380297340453,-94.625,-62.6768341064,"Scnn1a-Tg3-Cre",11.592858799,1.02605,-52.7062522888,1.023487,33.1375007629,1.092234,-65.66875,208,1.023063,-38.7000007629,1.092234,-65.66875,3.38687662479
"250",215.196992,254.062503576,0.289511501789,-95.28125,-77.1006546021,"Rbp4-Cre_KL100",16.1412683809,1.0259325,-59.0156269073,1.0235225,24.8046884537,1.24417375,-77.5078125,760,1.02313,-38.8593759537,1.24417375,-77.5078125,2.38437091677
"251",134.68496,146.093830466,0.0842964947224,-89.21875,-73.2192153931,"Ntsr1-Cre_GN220",12.4513971034,1.025195,-52.8250030518,1.02345,24.7562515259,1.103703,-73.5625045776,144,1.023049,-39.7375007629,1.103703,-73.5625045776,2.21985885676
"256",159.277248,268.359363079,0.0222496464849,-96.9375076294,-66.9598922729,"Nr5a1-Cre",15.2546989921,1.0248425,-56.8593769073,1.0233875,35.4375019073,1.9499175,-69.9062538147,350,1.0229775,-48.3593769073,1.9499175,-69.9062538147,2.88665379957
"258",199.163616,128.78613174,0.103579640388,-86.5625076294,-74.2342147827,"Rbp4-Cre_KL100",16.6680556713,1.02512,-54.3984394073,1.023475,35.2343769073,1.245045,-75.007818222,810,1.023085,-50.101565361,1.245045,-75.007818222,3.17560412493
"260",121.16748,115.468673408,0.122788280249,-90.3125,-75.9193191528,"Ntsr1-Cre_GN220",14.113828023,1.025059,-53.0062515259,1.023485,43.7250015259,1.117463,-76.8750030518,0,1.02311,-44.8125022888,1.117463,-76.8750030518,2.62786801807
"263",184.926912,196.874961257,0.0152577310801,-94.7187576294,-73.4410629272,"Rorb-IRES2-Cre",15.2686741338,1.02530333333,-53.1822929382,1.02346166667,44.7656262716,1.45273333333,-73.8958346049,650,1.02311083333,-46.1458333333,1.45273333333,-73.8958346049,4.42052621973
"266",300.17504,216.562509537,0.0540811754763,-91.875,-71.4015350342,"Cux2-CreERT2",16.2601626016,1.0259,-55.1718769073,1.023505,43.4765644073,1.573485,-72.101568222,680,1.02309,-46.1562519073,1.573485,-72.101568222,4.13123493516
"272",176.646384,231.562495232,0.0547779798508,-99,-74.4558258057,"Rorb-IRES2-Cre",12.2174031354,1.025631,-51.1312507629,1.023497,33.4750007629,1.749405,-74.9062561035,790,1.023054,-38.7062507629,1.749405,-74.9062561035,3.19283078389
"273",168.066432,163.28124702,0.0542853847146,-97.03125,-78.5653686523,"Nr5a1-Cre",12.3357799297,1.024668,-50.7500022888,1.023317,48.9562515259,1.418655,-79.0000030518,750,1.02301,-49.19375,1.418655,-79.0000030518,4.25413685648
"275",110.627536,129.687696695,0.0590607635677,-89.0312576294,-74.278503418,"Cux2-CreERT2",12.4749084228,1.025385,-49.5937519073,1.0234475,31.2187519073,1.6319925,-74.8593826294,860.000061035,1.023055,-42.59375,1.6319925,-74.8593826294,3.25268357751
"276",181.728032,210.937574506,0.0956082567573,-86.9687576294,-61.8505935669,"Ntsr1-Cre_GN220",12.2680228408,1.025028,-56.0875038147,1.023276,45.6437515259,1.08214,-63.9625030518,370,1.02286,-46.3875007629,1.08214,-63.9625030518,3.09541556475
"287",150.403872,82.9688236117,0.0387163348496,-83.7187576294,-73.0732498169,"Cux2-CreERT2",73.346644391,1.024292,-56.8375022888,1.023364,16.3187517166,1.59108,-73.8437515259,600,1.023084,-45.0625030518,1.59108,-73.8437515259,1.65733573907
"290",158.798208,153.124794364,0.0595687665045,-89,-73.5985412598,"Cux2-CreERT2",11.8862378976,1.024904,-52.8312522888,1.023148,47.1812522888,1.286644,-73.7937515259,800,1.022788,-48.15,1.286644,-73.7937515259,3.87221611025
"294",168.499824,219.999998808,0.112370699644,-96.1875,-75.9695968628,"Rorb-IRES2-Cre",10.707338691,1.025545,-57.5729179382,1.02350666667,30.1354166667,1.49982,-76.9270909627,0,1.02307833333,-42.6979179382,1.49982,-76.9270909627,2.81020990393
"295",197.584736,167.96875,0.0941582620144,-94.4062576294,-77.261932373,"Rbp4-Cre_KL100",14.8696673655,1.02527875,-51.4375019073,1.02341125,42.6562519073,1.33708375,-77.8359375,960.000061035,1.02304625,-46.15625,1.33708375,-77.8359375,3.35591294459
"297",151.12976,166.718706489,0.0119197703898,-94.34375,-77.0500564575,"Nr5a1-Cre",19.7180321404,1.02461,-50.7937515259,1.023346,48.8500022888,1.752269,-78.3312545776,880,1.023045,-44.1312515259,1.752269,-78.3312545776,3.35054869594
"299",228.0352,263.437449932,0.0362643152475,-97.9062576294,-73.1930770874,"Rorb-IRES2-Cre",10.9484484484,1.024796,-52.2750015259,1.023356,32.0875011444,1.740169,-74.8562545776,440,1.022989,-47.0937522888,1.740169,-74.8562545776,3.0884879472
"303",161.413456,210.937380791,0.0616592243314,-98.46875,-77.8417892456,"Nr5a1-Cre",13.3649637475,1.0251175,-50,1.023525,35.7968769073,1.7273975,-78.453125,0,1.02313,-42.0156288147,1.7273975,-78.453125,3.06313817275
"308",211.474736,162.812456489,0.114322602749,-91.5625,-75.4487686157,"Ntsr1-Cre_GN220",2.05854502038,1.02542,-52.6250030518,1.02354,42.5812530518,1.40114,-76.0687545776,600,1.023092,-47.6375022888,1.40114,-76.0687561035,3.16440863465
