"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"182",227.302992,202.812537550926,0.0736343935132027,-89.4687576293945,-66.8419036865234,"Scnn1a-Tg2-Cre",83.1093762715657,0.0221943325698944,61.623,0.198121648756083,0.0606450000000001,16.2277071872515,1.22343,-32.5625,1.220875,47.0937538146973,70,1.220435,-21.25,1.260615,-41.84375,2.89381750180098
"184",201.381808,171.093553304672,0.100417703390121,-97.09375,-77.6002655029297,"Rbp4-Cre_KL100",97.3437566757202,0.0232530314783377,86.6536363636364,0.14080310880829,0.044805,11.5401966029858,1.139955,-58.46875,1.13746,34.7500038146973,90,1.136925,-45.2812538146973,1.17643,-62.21875,3.47131380407153
"190",103.000992,90.1562497019768,0.17621211707592,-82.7812576293945,-71.9120330810547,"Rbp4-Cre_KL100",95.5208384195963,0.0690320929070083,95.628,0.132248521681253,0.038815,10.4571882712176,1.2145,-43.1875038146973,1.21211,45,160,1.21172,-40.6250038146973,1.26768,-55.5000038146973,4.48914108025743
"191",99.909832,101.562425494194,0.0296605732291937,-85.90625,-74.6041259765625,"Ctgf-T2A-dgCre",92.5312545776367,0.30738059793816,89.7,0.0691854233654877,0.0465,11.1482720178372,1.14458,-46.90625,1.14062,35.5625,270,1.14,-38.03125,1.15164,-48.96875,4.14310603148405
"193",147.077856,151.093795895576,0.0657483264803886,-90.125,-73.7776107788086,"Scnn1a-Tg3-Cre",84.6437530517578,0.0398470683756996,100.118125,0.150351705904314,0.074265,9.98820143705248,1.145525,-41.46875,1.143455,36.625,70,1.14314,-32.5937538146973,1.19225,-53.0625038146973,3.34308573333839
"194",169.12584,151.562884449959,0.11200725287199,-97.6875076293945,-78.5200042724609,"Ntsr1-Cre_GN220",71.4375030517579,0.0320279014470618,45.1109523809524,0.209302336128026,0.0175150000000002,22.1675656846083,1.063195,-47.5625038146973,1.06079,20.3125019073486,180,1.06016,-37.7812538146973,1.063195,-47.5625038146973,2.52499615406357
"200",136.608464,118.750378489494,0.0723411068320274,-89.8750076293945,-71.7197418212891,"Rorb-IRES2-Cre",78.1250025431315,0.0774982509294701,168.123,0.12,0.0984,5.94802614752294,1.279825,-43.40625,1.27459,21.5625019073486,110,1.27394,-34.59375,1.32694,-51.53125,4.51326297412701
"203",151.260384,136.250004172325,0.00724146328866482,-84.0625,-69.0978317260742,"Scnn1a-Tg2-Cre",89.5312557220458,0.0789860800127456,93.744,0.190340908031817,0.04332,10.6673493770268,1.1138,-43,1.11106,38.21875,190,1.11064,-31.0625,1.12652,-47.9375,4.68628759374351
"206",374.962944,356.249958276749,0.0765689760446548,-98.0625076293945,-59.0870780944824,"Rbp4-Cre_KL100",82.2343778610229,0.0458341390824274,89.794,0.18978494552764,0.02694,11.1366015546696,1.15932,-47.3125,1.15614,34.9062538146973,29.9999980926514,1.15562,-34.5000038146973,1.18402,-54.9687538146973,3.43763381446239
"209",86.395136,138.258814811707,0.118607446551323,-88.1250076293945,-72.494873046875,"Ntsr1-Cre_GN220",100.87500445048,0.0539655045114606,73.9578571428572,0.167625417448806,0.038035,13.5212138186805,1.089385,-46.9375038146973,1.087535,43.6875038146973,180,1.087055,-32.2500038146973,1.108135,-48.71875,2.31254135085647
