"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"294",168.499824,219.999998808,0.112370699644,-96.1875,-75.9695968628,87.7083346049,"Excitatory",3.69945,-48.7604179382,3.69623,38.5833333333,66.9166666667,3.69572166667,-34.8333333333,3.735025,-56.5625,3.39570138576
"299",228.0352,263.437449932,0.0362643152475,-97.9062576294,-73.1930770874,84.3625026703,"Excitatory",3.3602,-51.0208358765,3.35851,32.1458339691,58.4166666667,3.35802333333,-34.1875,3.38436,-52.7500025431,2.43180274703
"304",233.527488,247.209787369,0.130555033684,-102.65625,-75.7673873901,91.8697967529,"Inhibitory",4.66291,-46.0625,4.66072,40.2968769073,91.0624961853,4.66012,-33.328125,4.69366,-53.7500019073,2.79772871379
"310",194.35896,160.044744611,0.0414860658348,-97.625,-80.5922088623,92.421880722,"Excitatory",5.32817,-48.1770858765,5.32554333333,37.8645833333,107.625,5.32502,-35.0208358765,5.372525,-54.9375038147,3.80726993927
"323",126.105232,108.593635261,0.155113935471,-86.4687576294,-75.1248931885,91.0703163147,"Excitatory",7.31789333333,-49.8541704814,7.31612,42.6354179382,157.416666667,7.31570666667,-43.5729192098,7.37012,-55.3125038147,3.81676098373
"327",87.087664,51.5625067055,0.0474356599152,-94.0000076294,-80.152633667,76.6437519073,"Inhibitory",22.6526566667,-56.9791679382,22.651585,8.84375047684,540.791666667,22.65123,-31.3020852407,22.6529,-57.1979192098,1.22724740845
"329",138.22736,131.093755364,0.0597853958607,-92.1875,-77.7642974854,98.2083358765,"Excitatory",4.73843166667,-51.0833358765,4.734645,45.7083346049,92.875,4.73423166667,-37.0625012716,4.76971833333,-59.2395846049,4.61532300491
"340",191.326528,145.468786359,0.0182432401925,-88.6562576294,-73.6837921143,93.9937538147,"Inhibitory",7.274,-55.5312519073,7.2696,36.1093769073,156.25,7.26921,-31.4843759537,7.2796,-58.8906269073,3.87566688766
"349",291.219424,193.437457085,0.0550305172801,-92.8437576294,-71.559135437,83.4437534332,"Inhibitory",4.57231333333,-46.9166692098,4.57062666667,26.8020846049,88.75,4.57012,-36.8854166667,4.58758,-48.2187525431,2.62715243447
"360",206.043216,151.562511921,0.0181719250977,-91.96875,-76.6518173218,95.8875030518,"Excitatory",4.001575,-51,3.99956166667,46.0416704814,74.4583333333,3.999165,-39.4895833333,4.03690833333,-57.7708358765,3.58369673731
"364",164.929792,139.687538147,0.0298760719597,-79.625,-63.8380661011,86.7562522888,"Excitatory",6.09721916667,-49.1979173024,6.09243833333,32.1562519073,126.791666667,6.09185416667,-37.6614589691,6.12212416667,-55.4114583333,3.94225672557
"365",402.665312,315.937489271,0.072896912694,-101.9375,-72.3513641357,85.1937530518,"Inhibitory",3.12674166667,-51.1458358765,3.12493,37.1250012716,52.6249987284,3.12451833333,-40.0833346049,3.13863666667,-52.7395858765,3.16553055344
"368",162.721248,144.53125,0.0176777113229,-91.8125076294,-75.2367324829,99.2109413147,"Excitatory",4.90788833333,-47.4062525431,4.90545833333,39.3020858765,97.1250025431,4.90508833333,-30.166668574,4.92250166667,-53.9375025431,2.79511510686
