"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"825",206.452464,195.3125,0.0442003123462,-101.593757629,-79.6588592529,"Nr5a1-Cre",28.4798860805,1.02478083333,-56.1250019073,1.02331833333,45.9114596049,1.40179,-80.3072929382,570,1.02299416667,-47.8750019073,1.40179,-80.3072929382,4.29205654732
"828",227.135744,130.31257689,0.00892730802298,-85.6562576294,-71.0000686646,"Rorb-IRES2-Cre",16.4981498503,1.025205,-55.1687522888,1.0233,43.0750015259,1.576434,-72.1250030518,600,1.022956,-45.2625007629,1.576434,-72.1250030518,3.67303295027
"850",155.321072,156.093791127,0.0351201109588,-95.8125076294,-78.3591156006,"Rorb-IRES2-Cre",10.1752402487,1.025514,-51.3375015259,1.023357,51.0687522888,1.592185,-79.2312545776,780,1.023014,-46.7687522888,1.592185,-79.2312545776,4.76744168122
"854",269.900832,299.196541309,0.0677318796515,-99.3125076294,-72.3506011963,"Cux2-CreERT2",31.2690545801,1.02444,-54.3593788147,1.023265,41.2187519073,1.3517775,-73.875,190,1.0229575,-45.8281288147,1.3517775,-73.875,3.07804774107
"863",145.749248,125.669509172,0.110391393304,-93.71875,-80.1582565308,"Rorb-IRES2-Cre",11.0290062865,1.025402,-60.7875022888,1.02353,36.8125022888,1.317435,-81.2625,790,1.023094,-55.5437522888,1.317435,-81.2625,3.42528472239
"870",200.624128,149.519309402,0.0320296883583,-93.1562576294,-76.7724685669,"Rorb-IRES2-Cre",17.5187916413,1.024652,-49.7250022888,1.022901,41.5500007629,1.654306,-77.4750045776,800,1.022569,-39.8937522888,1.654306,-77.4750045776,3.3878416403
"872",91.85272,124.955430627,0.0801045447588,-88.90625,-75.4485092163,"Nr5a1-Cre",10.8098759026,1.025524,-48.5687530518,1.023523,37.2500015259,1.262254,-76.1375015259,1400,1.023129,-47.6250015259,1.262254,-76.1375030518,3.67902004831
"875",309.563808,174.99999702,0.0597991719842,-102.500007629,-77.4748916626,"Nr5a1-Cre",16.1051343168,1.025088,-57.7500030518,1.023292,36.9437522888,1.708472,-79.2750045776,620,1.022912,-50.8312522888,1.708472,-79.2750045776,4.02774126858
"892",183.4248,134.53117013,0.0435074232519,-89.3750076294,-74.5060882568,"Ndnf-IRES2-dgCre",39.5633825678,1.027056,-59.5125022888,1.023384,31.2312515259,1.185696,-76.0437530518,660,1.023048,-39.1687515259,1.185696,-76.0437530518,2.71556272008
"925",189.283568,163.59385848,0.0291495863348,-97.2500076294,-79.1894683838,"Nr5a1-Cre",15.1119362708,1.02529,-53.6562519073,1.02346,43.5520846049,1.78625666667,-80.161462148,949.999938965,1.02307666667,-48.8177102407,1.78625666667,-80.161462148,4.30097854923
"928",144.937296,206.718668342,0.215651631355,-86.4687576294,-61.2651138306,"Ntsr1-Cre_GN220",23.9617483363,1.02510875,-54.320315361,1.0233325,33.7500019073,1.12268625,-62.1562519073,360,1.02294375,-43.3125038147,1.12268625,-62.1562519073,2.62299129941
"931",142.759456,122.343711555,0.0597714334726,-88,-71.6550292969,"Scnn1a-Tg2-Cre",7.5668006621,1.025374,-51.2062507629,1.023154,38.58125,1.435666,-72.8875,840,1.022722,-42.9062507629,1.435666,-72.8875,3.79499860761
"944",93.896816,131.406247616,0.0534133799374,-90.5000076294,-75.3521347046,"Scnn1a-Tg2-Cre",11.474271814,1.0250325,-49.5156269073,1.02342,49.2812519073,1.466345,-75.4218826294,0,1.0230925,-42.3593788147,1.466345,-75.4218826294,3.85810205907
"955",227.410944,167.343750596,0.0222554951906,-98.03125,-78.7549057007,"Scnn1a-Tg3-Cre",11.2363057524,1.02658785714,-51.2857148307,1.02371,40.0848236084,1.638815,-80.4776796613,969.999938965,1.02319,-38.6830368042,1.638815,-80.4776796613,3.97070823362
