"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"327",87.087664,51.5625067055,0.0474356599152,-94.0000076294,-80.152633667,76.6437519073,"Inhibitory",0.00126942248117,12.0556896552,0.254801324503,0.299605,82.9483860818,1.1884,-59.1562538147,1.187535,6.5,590,1.1872,-36.59375,1.188475,-59.2812538147,1.22528456551
"329",138.22736,131.093755364,0.0597853958607,-92.1875,-77.7642974854,98.2083358765,"Excitatory",0.0158222799954,93.5061111111,0.12842377261,0.07467,10.6944881796,1.249365,-52.6562538147,1.24528,39.3437538147,90,1.24483,-38.78125,1.291675,-62.34375,4.40807384253
"340",191.326528,145.468786359,0.0182432401925,-88.6562576294,-73.6837921143,93.9937538147,"Inhibitory",-0.0243319201736,71.3454545455,0.17438524303,0.17346,14.0163098879,1.9769,-52.5000038147,1.9729,36.78125,190,1.9725,-28.4062519073,1.98116,-55.6250038147,4.06049830575
"349",291.219424,193.437457085,0.0550305172801,-92.8437576294,-71.559135437,83.4437534332,"Inhibitory",0.157901549081,38.5333333333,0.0308988764045,0.0118,25.9515570934,1.05658,-51.4687538147,1.055,33.6250038147,80,1.0546,-42.3750038147,1.05668,-51.53125,3.16120244791
"360",206.043216,151.562511921,0.0181719250977,-91.96875,-76.6518173218,95.8875030518,"Excitatory",0.205976048983,69.66,0.0678571428571,0.03454,14.355440712,1.133495,-48.09375,1.13138,42.2187538147,130,1.13096,-37.5,1.16181,-52.6250038147,3.62132283055
"364",164.929792,139.687538147,0.0298760719597,-79.625,-63.8380661011,86.7562522888,"Excitatory",0.0223981014994,85.0245454545,0.102976195628,0.058865,11.7613095684,1.136185,-48.875,1.131975,31.6875019073,130,1.131395,-38.28125,1.148295,-52.15625,3.98766840898
"365",402.665312,315.937489271,0.072896912694,-101.9375,-72.3513641357,85.1937530518,"Inhibitory",0.0131544278271,19.8426530612,0.602496159754,0.01073,50.3964866449,1.070985,-53.9687538147,1.069505,28.8437519073,40,1.06912,-45.375,1.07124,-54.15625,2.83195192892
"368",162.721248,144.53125,0.0176777113229,-91.8125076294,-75.2367324829,99.2109413147,"Excitatory",0.129724789499,38.3125,0.113616070221,0.02713,26.101141925,1.06821,-48.3125038147,1.065685,40.5625038147,190,1.065345,-34,1.9823,-50.96875,3.54719087818
"374",141.185456,95.3126102686,0.0731262862682,-82.90625,-72.6440582275,86.9000045776,"Inhibitory",0.00589447235473,20.5372093023,0.755639797701,0.07264,48.6921073491,1.20558,-54.40625,1.2048,23.3125019073,320,1.20444,-32.1875038147,1.20562,-54.5000038147,1.37486615319
"378",110.398784,105.156250298,0.0230337269604,-83.4687576294,-72.0595779419,83.7312530518,"Inhibitory",0.0039475974101,48.35625,0.247142810432,0.024985,20.6798500711,1.10245,-46.25,1.09766,17.65625,249.999984741,1.097235,-27.9062519073,1.10635,-48.1562538147,3.00518342764
"380",124.02236,154.68749404,0.0369148589671,-98.90625,-81.3229217529,74.070315361,"Excitatory",0.0180102392903,111.531875,0.142837036333,0.08869,8.9660467019,1.245585,-45.9375,1.2426,17.2812519073,90,1.24208,-34.59375,1.29539,-58.8750038147,2.67829625929
"381",121.527552,146.093860269,0.0295471437275,-95.4375076294,-78.6970443726,90.4937561035,"Excitatory",0.0180393820231,64.0957142857,0.202551020408,0.04502,15.6016671496,1.2241,-49.4687538147,1.22202,35.09375,70,1.2215,-36.5000038147,1.26098,-58.5937538147,2.99661581524
"389",199.343808,198.906213045,0.00907935388386,-99.15625,-77.2901382446,99.1562538147,"Excitatory",0.0239146105739,65.1326923077,0.271875018411,0.048075,15.3532729044,1.33184,-52.5312538147,1.32954,44.25,70,1.329025,-49.78125,1.979785,-56.7500038147,4.57573245258
"394",345.971648,341.718673706,0.0355428121984,-101.968757629,-74.6933822632,93.7321469443,"Inhibitory",0.0216389675472,49.4978947368,0.371312217195,0.03878,20.202879442,1.16812,-58.6562538147,1.16644,34.6562538147,70,1.1659,-38.8125038147,1.1683,-58.8437538147,2.24152484628
"395",210.940528,191.718757153,0.0411933287978,-89.8750076294,-67.5364532471,91.7437545776,"Excitatory",0.0123755954075,51.88,0.280147737765,0.04168,19.2752505783,1.13126,-47.46875,1.129405,40.5625038147,70,1.12903,-39.5,1.152485,-50.9062538147,3.69286340669
