"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","L_tg"
"114",1,1000,0.1126488154,0.04828,197.812452912,0.0260047987,29.1357366417,-75.0118560791,1,109.245,-50.0312538147,107.16,42.4375,110,106.76,-37.9375,486.64,-53.9375038147,3.2932411812,92.4687538147,"L4tg"
"115",0.0273401063,54.8355882353,0.3026515066,0.034195,171.093717217,0.0406936817,17.5577359319,-76.9504776001,18.2363321372,68.855,-44.25,67.045,38.0625,190,66.595,-31.4687519073,84.55,-46.25,3.1491299754,82.3125,"L4tg"
"116",0.0157644677,53.7608823529,0.2291005291,0.03667,233.750000596,0.1304496378,22.1629151974,-67.0954437256,18.6008851833,166.39,-49.0000038147,164.695,34.6875,50,164.19,-35.5312538147,202.395,-53.1562538147,2.4433285124,83.6875038147,"L4tg"
"117",0.1110990189,149.989,0.090098575,0.08562,121.093638241,0.0830635205,25.7681413593,-73.8577346802,6.66715559141,250.1,-45.71875,246.11,32.0625,110,245.6,-36.28125,311.47,-57.1250038147,3.4608120666,77.78125,"L4tg"
"118",0.0192199944,86.972,0.149388593,0.06236,146.093562245,0.0724782199,19.3189463442,-77.5240783691,11.4979533643,288.24,-46.4687538147,285.76,45.375,100,285.32,-34.9375,332.72,-57.8750038147,3.9566671527,91.8437538147,"L4tg"
"119",0.0637968972,118.585714286,0.1954545455,0.08357,204.374998808,0.1007180512,28.8778971711,-67.8072128296,8.43271894953,214.22,-35.59375,212.02,49.625,50,211.65,-28.15625,277.69,-49.0000038147,3.5360488039,85.21875,"L4tg"
"122",0.0228414568,54.5728125,0.2502212679,0.045005,135.468870401,0.0208985545,19.8407923916,-80.2579421997,18.3241426305,118.27,-50.0312538147,116.41,42.90625,110,116.015,-41.6562538147,138.52,-55.1875,3.5915440217,92.9375038147,"L4tg"
"124",0.0201766759,69.6338461538,0.2155601613,0.07022,171.718671918,0.0210417602,23.7512050134,-81.4805679321,14.3608324864,403.88,-51.4687538147,400.66,40.3125038147,50,400.16,-38.5000038147,426.3,-58.6562538147,4.2211474584,91.7812576294,"L4tg"
"125",0.0348404831,74.0158333333,0.2006329292,0.04909,119.55357343,0.1685982794,18.696578849,-68.143371582,13.5106227271,192.375,-46.40625,190.835,47.5937538147,90,190.46,-39.625,263.16,-53.2187538147,3.3749299734,94.0000038147,"L4tg"
"126",0.0179674667,58.6875,0.2578431491,0.02762,162.656202912,0.0085155461,17.96684937,-75.2355270386,17.0394036209,57.16,-50.40625,54.88,42.2500038147,130,54.46,-39.5937538147,64.82,-54.5937538147,4.1465962199,92.6562538147,"L4tg"
"127",0.0284172257,61.0526666667,0.2271505474,0.037945,179.687470198,0.0325120091,26.7562918847,-80.1294937134,16.3793009314,119.55,-54.0937538147,117.48,35.1875,100,117.09,-42.28125,136.085,-60.6562538147,3.2783341195,89.2812538147,"L4tg"
"130",0.0440022495,73.0569230769,0.2218292789,0.04204,157.187581062,0.0274023879,16.5907497515,-78.2233123779,13.6879567039,121.805,-53.40625,119.235,39.1875038147,130,118.71,-41.53125,131.1,-56.9062538147,3.7451433995,92.5937538147,"L4tg"
"131",0.025823463,78.1,0.1623031496,0.05826,122.656323016,0.1415288746,21.4404134616,-74.2980117798,12.8040973111,199.1,-50.2187538147,196.48,38.0937538147,80,196.02,-42.4062538147,263.04,-59.4062538147,4.1341109256,88.3125076294,"L4tg"
"132",0.0218098585,52.8622222222,0.2333333333,0.034055,304.6875,0.0821281075,40.8273037203,-65.3980865479,18.9171010594,123,-43.84375,121.105,34.53125,50,120.67,-35.34375,161.38,-53.75,2.9467601522,78.375,"L4tg"
