"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"339",4.2058333,-58.2500006358,3.3416667,16.1041668256,71.6666666667,3.0633333,-39.7760423024,342.4291667,-71.3541704814,1.4674426312,74.3541674614,"Pvalb-IRES-Cre"
"340",4.728,-51.9687515259,3.392,42.0250022888,780,3.064,-38.4875007629,305.46,-74.8812545776,2.8208449982,93.9937538147,"Nkx2-1-CreERT2"
"342",4.2778571,-62.7678587777,3.32,38.6205368042,450,2.9385714,-44.7678576878,348.3335714,-64.4464285714,1.8994222723,101.388395582,"Sst-IRES-Cre"
"347",4.427,-58.7312515259,3.353,16.6125011444,560,3.056,-42.4562530518,609.64,-74.5687545776,1.6967333406,75.3437526703,"Pvalb-IRES-Cre"
"348",3.969,-65.5062545776,3.333,26.6750015259,880,3.065,-48.7375022888,635.788,-82.0562530518,1.3162588242,92.1812561035,"Pvalb-IRES-Cre"
"351",4.6233333,-61.5416692098,3.3166667,32.6250025431,279.999979655,2.955,-41.6354192098,565.8733333,-68.1041692098,2.3563466262,94.1666717529,"Sst-IRES-Cre"
"352",6.075,-51.8593788147,3.6,45.679690361,1170,3.205,-48.1250009537,321.195,-73.0000038147,4.7504634714,97.5390691757,"Chrna2-Cre_OE25"
"355",7.766,-61.0687515259,3.404,25.9937507629,540,3.079,-40.4937522888,52.463,-69.6875045776,2.0411963776,87.0625022888,"Htr3a-Cre_NO152"
"356",8.193,-58.3125030518,3.395,31.3312515259,640,2.99,-41.4625015259,475.88,-71.7000030518,2.2556877757,89.6437545777,"Htr3a-Cre_NO152"
"357",4.1266667,-61.9635454814,3.3333333,29.4895846049,310,3.0266667,-43.7500025431,158.1433333,-63.8125025431,1.6137147859,91.4531300863,"Ndnf-IRES2-dgCre"
"361",4.97,-56.6640644073,3.51,35.6875009537,820,3.12,-45.9218759537,512.335,-75.2265663147,2.8108172521,92.351565361,"Htr3a-Cre_NO152"
"362",6.11125,-63.6484394073,4.2175,18.7890634537,0,3.6025,-52.2109384537,6.3125,-63.820318222,2.1207018955,82.437502861,"Sst-IRES-Cre"
"363",4.6166667,-62.6979198456,3.5066667,38.213543574,700,3.0833333,-45.4062519073,477.8133333,-72.8750038147,2.0688658956,100.91146342,"Chrna2-Cre_OE25"
"365",4.246,-54.2250015259,2.987,30.9687515259,260,2.671,-45.3375022888,831.05,-73.0500015259,2.7905485666,85.1937530518,"Htr3a-Cre_NO152"
"369",4.292,-60.1687522888,3.396,29.5937515259,509.999969482,3.04,-44.2750022888,771.876,-75.3562530518,1.5779364428,89.7625038147,"Nkx2-1-CreERT2"
"370",4.09,-65.109375,3.3625,24.6093759537,0,3.0675,-48.140625,670.0275,-72.1406288147,1.4172285836,89.7187509537,"Pvalb-IRES-Cre"
"374",4.18,-58.7562530518,3.376,28.1437515259,690,3.06,-43.7250022888,441.616,-73.5375015259,1.478389622,86.9000045777,"Nkx2-1-CreERT2"
"378",9.34,-61.4062522888,3.323,22.3250007629,820,3.005,-33.4250015259,229.051,-72.1125,2.2963894666,83.7312530517,"Htr3a-Cre_NO152"
"382",5.2033333,-61.3072954814,3.61,33.1093762716,370,3.23,-43.7083346049,16.36,-70.4895858765,2.5864924015,94.416671753,"Nkx2-1-CreERT2"
"386",4.598,-57.6562522888,3.549,26.1375007629,0,3.245,-44.5250022888,446.261,-71.2,2.2616733072,83.7937530517,"Htr3a-Cre_NO152"
"392",4.137,-62.1937530518,3.14,47.6625015259,499.999969482,2.756,-42.2812507629,531.649,-66.2812545776,1.8712986119,109.856254578,"Sst-IRES-Cre"
"394",4.76,-61.5312538147,3.4057143,32.2008931296,530,2.98,-41.6785741534,800.14,-75.1473257882,2.0326387946,93.7321469443,"Chrna2-Cre_OE25"
"401",4.91,-53.0195336342,3.1325,26.8320317268,270,2.7975,-39.0742211342,136.7375,-60.3125033379,2.7778974112,79.851565361,"Nkx2-1-CreERT2"
"403",4.2316667,-61.9270858765,3.4283333,18.1979179382,0,3.1533333,-44.333337148,427.1533333,-75.7395833333,1.3460910208,80.1250038147,"Pvalb-IRES-Cre"
"407",3.8625,-70.3750038147,3.2891667,28.0937512716,244.999984741,3.0025,-51.3593781789,376.4633333,-80.2447916667,1.1844417937,98.4687550863,"Pvalb-IRES-Cre"
"408",4.12125,-59.000002861,3.3275,12.5078132153,205,3.0425,-45.2343759537,504.4125,-66.7265663147,1.4510003579,71.5078160763,"Pvalb-IRES-Cre"
"410",6.02,-51.0156288147,3.75,33.7187519073,320,3.3,-44.421875,366.8,-71.1093826294,3.3456636287,84.734380722,"Vip"
"413",4.3433333,-62.8125,3.3816667,14.8125,0,3.0916667,-46.0104179382,303.8366667,-80.5416666667,1.5761207328,77.625,"Pvalb-IRES-Cre"
"416",4.755,-62.656252861,3.505,32.9921894073,720,3.085,-50.312502861,449.47,-78.0781288147,2.2031675222,95.6484422683,"Chrna2-Cre_OE25"
"423",3.857,-64.8937515259,3.301,19.525,104,3.068,-45.9187522888,411.222,-75.0250015259,1.231366996,84.4187515259,"Pvalb-IRES-Cre"
"428",4.044,-65.7500015259,3.236,13.2187503815,330,2.904,-51.0312530518,556.792,-69.6687545776,1.4114069003,78.9687519074,"Pvalb-IRES-Cre"
"429",5.728,-56.5625022888,3.64,35.5625007629,249.999984741,3.136,-46.5750015259,706.596,-73.3312545776,2.8207988263,92.1250030517,"Vip"
"435",4.052,-62.3562515259,3.407,20.9750007629,340,3.157,-46.0437522888,487.735,-70.8437545776,1.355900372,83.3312522888,"Sst-IRES-Cre"
"437",3.75125,-66.0781288147,3.29875,34.5312519073,820,3.0625,-49.2500019073,106.7325,-77.0859375,1.1643222118,100.609380722,"Pvalb-IRES-Cre"
"439",5.395,-53.90625,3.515,22.5,390,3.15,-39.25,162.6,-73.8437576294,2.8656920673,76.40625,"Htr3a-Cre_NO152"
"443",4.3091667,-65.4375,3.5216667,31.4843762716,350,3.1958333,-47.2239596049,303.8541667,-71.2187512716,1.4056354635,96.9218762716,"Pvalb-IRES-Cre"
"445",4.277,-62.8375030518,3.288,22.5625011444,560,2.895,-48.6062507629,588.743,-72.7812545776,1.6207183559,85.4000041962,"Sst-IRES-Cre"
"449",4.94,-60.0703144073,3.405,12.1250002384,117.499992371,3.02,-41.3281259537,638.825,-69.1171894073,1.8747752501,72.1953146457,"Sst-IRES-Cre"
"451",4.634,-57.7312522888,3.436,19.4562507629,580,3.057,-47.8312530518,251.072,-71.6750015259,2.0538735812,77.1875030517,"Sst-IRES-Cre"
"452",5.284,-52.9562522888,3.38,43.5937530518,340,2.9,-44.1625030518,89.208,-64.1250022888,2.9436171763,96.5500053406,"Chrna2-Cre_OE25"
"457",6.16,-55.9750015259,3.452,33.1062515259,520,3.076,-40.9000015259,323.004,-72.4250030518,2.5466006385,89.0812530518,"Ndnf-IRES2-dgCre"
"458",4.52,-56.427087148,3.2,42.3125038147,440,2.8333333,-42.0312525431,217.5466667,-68.9479242961,2.7669311852,98.7395909627,"Nkx2-1-CreERT2"
"460",5.4808333,-58.8437519073,3.3541667,4.7656252384,68.3333333333,3.0683333,-41.3020852407,299.1316667,-74.9791692098,1.7579913695,63.6093771457,"Pvalb-IRES-Cre"
"461",7.66,-58.5625038147,3.5,28.9687519073,780,3.12,-44.1875,209.84,-76.4062576294,2.8756036136,87.531255722,"Ndnf-IRES2-dgCre"
