"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","binary_neuron"
"154",4.035,-68.7750015259,3.394,16.1062505722,810.000061035,3.087,-54.2187530518,601.727,-83.5312576294,1.252613964,84.8812520981,"Inhibitory"
"155",6.7033333,-52.3177089691,3.4866667,37.1614602407,530,3.1033333,-48.182293574,764.0533333,-68.0208346049,5.1890989853,89.4791692098,"Excitatory"
"156",4.895,-51.0468769073,3.4075,43.921875,1030,3.0625,-50.3281269073,890.2275,-85.0625038147,3.704824362,94.9687519073,"Excitatory"
"157",5.1466667,-51.161462148,3.41,41.135418574,750,3.0233333,-45.354168574,640.9133333,-76.4531300863,3.7751103465,92.296880722,"Inhibitory"
"158",5.25125,-50.195315361,3.47625,43.8828125,910,3.09625,-51.4531259537,580.63,-82.3359394073,3.839150346,94.078127861,"Excitatory"
"159",5.6541667,-55.0677108765,3.565,47.854168574,520,3.155,-48.5677096049,497.5833333,-72.6093788147,4.2082291424,102.921879451,"Excitatory"
"160",4.368,-60.3687515259,3.239,7.9250003815,570,2.903,-40.3562507629,734.065,-76.1562530518,1.5000986445,68.2937519074,"Inhibitory"
"161",5.315,-51.6875025431,3.3866667,41.1562525431,920,3.0066667,-48.1562525431,475.6966667,-83.2916692098,3.8528682528,92.8437550862,"Excitatory"
"162",4.261,-57.0000022888,3.257,36.3437530518,300,3.002,-48.4375022888,388.845,-72.7125015259,2.9179089171,93.3437553406,"Inhibitory"
"163",4.314,-61.3500030518,3.433,28.7125015259,690,3.146,-43.5687515259,355.837,-73.1812515259,1.7141476027,90.0625045777,"Inhibitory"
"165",9.535,-66.5125045776,3.371,28.7312507629,1060,3.016,-40.4437530518,365.703,-77.5375030518,2.6635729426,95.2437553405,"Inhibitory"
"166",5.08375,-50.1484394073,3.4075,43.8125038147,750,3.03375,-47.8593769073,765.885,-79.7421913147,3.9963921801,93.960943222,"Excitatory"
"167",5.399,-51.9875015259,3.264,36.9437538147,1310,2.898,-51.1000022888,603.481,-80.8000030518,4.4510938323,88.9312553406,"Excitatory"
"168",5.7775,-49.4140644073,3.425,49.2343769073,760,3.03,-41.9609384537,305.15375,-73.210943222,4.0042292671,98.6484413146,"Excitatory"
"169",5.2266667,-53.770837148,3.4833333,32.1145846049,560,3.1,-48.119793574,337.2133333,-71.9791679382,3.4417168032,85.8854217529,"Inhibitory"
"170",4.816,-55.6437515259,3.297,38.7062522888,610,2.929,-45.6750007629,462.336,-75.7062576294,2.9461253113,94.3500038147,"Excitatory"
"171",4.40125,-59.2578144073,3.36875,15.6484379768,0,3.08375,-44.5859413147,688.28625,-79.648443222,1.662329402,74.9062523841,"Inhibitory"
"172",6.156,-58.1500030518,3.328,47.0187515259,499.999969482,2.98,-52.8437530518,532.472,-80.1062530518,5.1097069864,105.168754578,"Excitatory"
"173",5.776,-58.4000030518,3.428,29.2812511444,520,3.048,-38.1625015259,380.732,-75.2812545776,2.916723754,87.6812541962,"Inhibitory"
"176",4.808,-53.8500030518,3.228,30.6375011444,350,2.872,-43.7812515259,640.824,-72.6875030518,2.9605716031,84.4875041962,"Inhibitory"
"178",5.369,-51.5937538147,3.435,43.1187515259,1040,3.089,-47.6250015259,259.397,-75.2312561035,3.781571703,94.7125053406,"Excitatory"
"180",5.46,-51.53125,3.46,39.4375038147,650,3.04,-47.6562538147,970.28,-77.0312576294,4.5445647554,90.9687538147,"Excitatory"
"182",4.9616667,-40.8229179382,3.3875,42.2864583333,310,3.0091667,-27.5104173024,559.1466667,-70.4583333333,2.7353519153,83.1093762715,"Excitatory"
"183",3.832,-58.9250030518,3.31,20.5375011444,870,3.088,-42.6937507629,140.615,-76.2062561035,1.2613548416,79.4625041962,"Inhibitory"
"184",5.76375,-61.054690361,3.52625,36.2890663147,630,3.0775,-49.1093788147,94.405,-77.8515644073,3.3934873688,97.3437566757,"Excitatory"
