"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"249",9.8216166667,-51.28125,9.8203983333,-6.8229172826,245.499994914,9.8199166667,-27.0937519073,9.8216333333,-51.3020858765,0.777141833,44.4583327174,"Pvalb-IRES-Cre"
"252",2.83574,-56.7916692098,2.8349333333,32.8229179382,70.875,2.83461,-41.5104204814,2.835775,-56.8750025431,1.7469860033,89.614587148,"Sst-IRES-Cre"
"253",2.7073333333,-54.2916679382,2.7051266667,29.8750012716,67.5833333333,2.7046533333,-31.7708333333,2.7085833333,-55.0000012716,2.700626017,84.1666692098,"Htr3a-Cre_NO152"
"261",6.0997416667,-46.7812512716,6.0953483333,12.8854169846,152.374994914,6.0947866667,-30.8229179382,6.1043583333,-48.21875,2.9573749789,59.6666682562,"Htr3a-Cre_NO152"
"262",6.0282866667,-51.1354192098,6.0252733333,31.6458352407,150.625,6.0247666667,-35.9479192098,6.0355933333,-55.1041692098,3.805796928,82.7812544505,"Chrna2-Cre_OE25"
"265",6.3486,-52.2395858765,6.3469066667,31.2291679382,158.666666667,6.34648,-37.2291679382,6.3522,-53.0000012716,2.6289954963,83.4687538147,"Ndnf-IRES2-dgCre"
"268",7.0069383333,-57.927087148,7.00624,8.6250006358,175.125,7.00595,-33.9375025431,7.0069733333,-58.0208346049,1.1034001846,66.5520877838,"Pvalb-IRES-Cre"
"269",9.686405,-58.6041679382,9.685705,21.6041679382,242.124994914,9.6854116667,-34.1875012716,9.6864683333,-58.7291692098,1.256612005,80.2083358764,"Pvalb-IRES-Cre"
"271",1.0024933333,-49.2916692098,1.0005333333,39.5208333333,24.9999993642,1.00002,-40.6666666667,1.0330066667,-57.1562525431,2.9253809378,88.8125025431,"Chrna2-Cre_OE25"
"278",8.79439,-59.3593769073,8.79367,19.7343759537,219.874992371,8.79335,-38.9375019073,8.79443,-59.453125,1.3228008461,79.093752861,"Pvalb-IRES-Cre"
"279",1.936155,-50.3333358765,1.9347683333,20.7708339691,48.375,1.9342633333,-38.3750025431,1.9362183333,-50.4062538147,1.9410006296,71.1041698456,"Sst-IRES-Cre"
"280",16.4903125,-58.0468769073,16.4896275,3.8281252384,412.25,16.4893075,-31.2187509537,16.4904,-58.1250019073,0.8880788521,61.8750021457,"Pvalb-IRES-Cre"
"281",2.8815266667,-52.958337148,2.8803533333,43.3020846049,72.0833333333,2.8799533333,-43.0208358765,2.8815533333,-53.0729192098,3.0367915097,96.2604217529,"Vip"
"282",3.1384466667,-50.5208358765,3.1373066667,7.3229169846,78.4583333333,3.1369666667,-33.8333346049,3.14836,-51.520837148,1.5403400673,57.8437528611,"Sst-IRES-Cre"
"285",1.7395366667,-48.9895858765,1.7377766667,15.3750006358,43.4583320618,1.73728,-34.6770846049,1.7479416667,-50.8854192098,2.0362405381,64.3645865123,"Htr3a-Cre_NO152"
