"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"827",5.6366667,-61.1875025431,3.5466667,28.385418574,610,3.11,-53.427087148,461.6783333,-82.5000050863,3.949913102,89.5729211171,"Rorb-IRES2-Cre"
"836",4.884,-54.3000022888,3.424,41.4875007629,730,3.044,-43.9812530518,719.848,-76.0500045776,3.2652631937,95.7875030517,"Rorb-IRES2-Cre"
"848",6.1641667,-50.8072942098,3.4366667,49.3750025431,1460,3.0975,-45.510418574,564.1383333,-77.692712148,4.1873739375,100.182296753,"Nr5a1_Scnn1a"
"852",5.13125,-54.5390634537,3.51625,36.9921894073,800,3.10375,-51.3125009537,682.8125,-80.757818222,3.1626414688,91.531252861,"Cux_Slc17"
"855",5.4983333,-49.4947923024,3.2816667,30.7395849228,1060,2.8791667,-36.6093762716,583.2325,-80.0416679382,3.3892240663,80.2343772252,"Nr5a1_Scnn1a"
"876",5.092,-52.7500038147,3.476,40.6812522888,760,3.116,-46.3375022888,448.34,-76.2625045776,3.67449489,93.4312561035,"Cux_Slc17"
"887",4.4666667,-52.2083358765,3.2283333,31.2812519073,440,2.89,-43.96875,754.205,-69.1875050863,2.2294494128,83.4895877838,"Ntsr1-Cre_GN220"
"899",6.227,-51.6125022888,3.427,36.5500030518,260,3.057,-45.8062538147,534.734,-80.3625045776,4.2710107644,88.1625053406,"Cux_Slc17"
"909",4.335,-50.9609394073,3.1475,50.921877861,290,2.82375,-38.9218769073,436.7075,-63.8515644073,2.8500059942,101.882817268,"Rorb-IRES2-Cre"
"914",4.836,-52.7500030518,3.464,40.7750015259,870,3.092,-46.5250030518,478.96,-80.9562515259,3.2735434442,93.5250045777,"Rorb-IRES2-Cre"
"927",4.7008333,-47.2395852407,3.3208333,36.5989608765,209.999984741,2.9691667,-44.5468769073,755.0666667,-70.2031275431,3.8228997641,83.8385461172,"Nr5a1_Scnn1a"
"929",5.0483333,-50.8229204814,3.4933333,27.0833339691,0,3.0466667,-49.4062512716,488.1766667,-77.2708384196,2.8644186471,77.9062544505,"Nr5a1_Scnn1a"
"932",4.952,-53.5000038147,3.46,40.1750015259,380,3.092,-44.0687522888,763.352,-71.8062515259,3.4140915405,93.6750053406,"Cux_Slc17"
