"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"763",1,49.125,0.1341386558,0.034465,146.718755364,0.0478804708,20.8098833517,-76.0803756714,20.3562340967,60.915,-48.65625,58.785,31.7812519073,190,58.37,-39.84375,80.53,-54.21875,2.9823366857,80.4375019073,"Rorb-IRES2-Cre"
"776",0.0155496076,67.9057692308,0.1860294118,0.06271,146.562427282,0.0326740965,22.4267854082,-78.1255340576,14.7262892583,338.785,-48.4375038147,336.945,35.3125,90,336.45,-37.21875,370.685,-54.28125,2.6180051507,83.7500038147,"Nr5a1_Scnn1a"
"784",0.085194725,71.48125,0.1549804415,0.04331,166.249960661,0.0216736477,25.0706619169,-76.9803619385,13.9896826091,90.38,-46.71875,87.99,26.75,110,87.475,-33.96875,103.16,-51.03125,2.6106968316,73.46875,"Nr5a1_Scnn1a"
"786",1,86.94,0.0449218772,0.052885,182.343706489,0.0474418104,25.097116025,-75.3202514648,11.5021854152,138.8,-49.4062538147,134.56,34.78125,90,134.09,-36.21875,170.1,-57.2187538147,3.6114337192,84.1875038147,"Rorb-IRES2-Cre"
"789",0.1526106835,80.324,0.1357502366,0.025485,154.374957085,0.0087629054,15.3134585909,-78.7234420776,12.4495792042,50.485,-53.90625,48.63,44.7187538147,209.999984741,48.21,-38.90625,50.635,-54.1250038147,3.7752421955,98.6250038147,"Rorb-IRES2-Cre"
"794",1,1000,0.0212643678,0.036535,82.81211555,0.1284872741,9.43292454457,-76.9102935791,1,43.52,-38.9375,42.275,23.5625,230,41.62,-24.5625,63.26,-42.1875,1.4182510407,62.5,"Ntsr1-Cre_GN220"
"795",0.015070633,40.7922916667,0.3083420229,0.02068,301.562488079,0.0205476955,24.7832392958,-66.1851959229,24.5144354274,74.485,-49.84375,72.62,32.5000038147,70,72.12,-36.78125,83.575,-52.125,2.6240514987,82.3437538147,"Rorb-IRES2-Cre"
"809",0.0375035551,69.6015384615,0.156308658,0.05263,164.531290531,0.0583837293,19.3078718473,-82.5241928101,14.367498508,130.76,-46.15625,128.475,43,90,128.04,-34.125,153.395,-52.9062538147,3.3615732663,89.15625,"Rorb-IRES2-Cre"
"827",0.0248265692,85.355,0.2303294677,0.05396,218.593791127,0.02898743,21.6933456682,-81.9060440063,11.7157752914,189.005,-57.2500038147,185.34,28.5312519073,90,184.79,-42.65625,210.15,-62.3125038147,3.5142738747,85.781255722,"Rorb-IRES2-Cre"
"836",0.010100823,79.6781818182,0.1983333333,0.06146,146.562576294,0.161756143,17.6241785268,-75.5517425537,12.5504871871,254.82,-49.9062538147,252.98,40.6250038147,90,252.52,-38.4062538147,281.78,-59.4375038147,2.8295797027,90.5312576294,"Rorb-IRES2-Cre"
"848",0.0198464248,137.9125,0.0997193035,0.120345,105.000078678,0.0216580909,22.5945108648,-77.271156311,7.25097434968,268.115,-47.0000038147,264.295,49.0937538147,130,263.9,-37.1250038147,314.06,-58.15625,4.6772020823,96.0937576294,"Nr5a1_Scnn1a"
"852",1,32.505,0.1562500025,0.029005,136.406332254,0.0191581454,15.5799676396,-80.1997756958,30.7644977696,102.355,-51.7500038147,99.62,29.0000019073,170,99.07,-36.4062538147,118.02,-56.4062538147,2.1935312373,80.750005722,"Cux_Slc17"
"855",0.0309022487,71.6926923077,0.1858209136,0.067105,151.562571526,0.0225339085,17.4630409651,-79.0895767212,13.9484230235,294.27,-44.90625,291.085,28.1250019073,70,290.56,-33.90625,377.835,-56.46875,3.3476373087,73.0312519073,"Nr5a1_Scnn1a"
"876",1,1000,0.223126011,0.06884,167.031243444,0.0475235619,15.6347206335,-75.7844924927,1,121.3,-50.2812538147,118.98,36.8750038147,110,118.54,-33.3125038147,134.68,-55.7812538147,3.2212039613,87.1562576294,"Cux_Slc17"
